run_key,tag,evals
main/cec2022_F01_D10/TFO-static/static/4,virtuoso,15868
main/cec2022_F01_D10/TFO-static/static/4,finisher,4065
main/cec2022_F01_D10/TFO-static/static/4,formation,0
main/cec2022_F01_D10/TFO-static/static/4,rotation,0
main/cec2022_F01_D10/TFO-static/static/4,possession,8444
main/cec2022_F01_D10/TFO-static/static/4,pressing,86284
main/cec2022_F01_D10/TFO-static/static/4,counter_attack,90
main/cec2022_F01_D10/TFO-static/static/4,set_pieces,1364
main/cec2022_F01_D10/TFO-static/static/4,offside,0
main/cec2022_F01_D10/TFO-static/static/4,substitutions,0
main/cec2022_F01_D10/TFO-static/static/4,fatigue,0
main/cec2022_F01_D10/TFO-static/static/4,var_review,0
main/cec2022_F01_D10/TFO-static/static/4,manager,0
main/cec2022_F01_D10/TFO-static/static/4,neutral,0
main/cec2022_F05_D10/TFO/full/0,init,30
main/cec2022_F05_D10/TFO/full/0,sweeper_keeper,0
main/cec2022_F05_D10/TFO/full/0,zonal_centre_back,18820
main/cec2022_F05_D10/TFO/full/0,overlapping_wing_back,18363
main/cec2022_F05_D10/TFO/full/0,deep_lying_playmaker,13786
main/cec2022_F05_D10/TFO/full/0,box_to_box,27783
main/cec2022_F05_D10/TFO/full/0,destroyer,14116
main/cec2022_F05_D10/TFO/full/0,virtuoso,78592
main/cec2022_F05_D10/TFO/full/0,finisher,18488
main/cec2022_F05_D10/TFO/full/0,formation,0
main/cec2022_F05_D10/TFO/full/0,rotation,0
main/cec2022_F05_D10/TFO/full/0,possession,6990
main/cec2022_F05_D10/TFO/full/0,pressing,1766
main/cec2022_F05_D10/TFO/full/0,counter_attack,225
main/cec2022_F05_D10/TFO/full/0,set_pieces,1041
main/cec2022_F05_D10/TFO/full/0,offside,0
main/cec2022_F05_D10/TFO/full/0,substitutions,0
main/cec2022_F05_D10/TFO/full/0,fatigue,0
main/cec2022_F05_D10/TFO/full/0,var_review,0
main/cec2022_F05_D10/TFO/full/0,manager,0
main/cec2022_F05_D10/TFO/full/0,neutral,0
main/cec2022_F05_D10/TFO-static/static/0,init,30
main/cec2022_F05_D10/TFO-static/static/0,sweeper_keeper,0
main/cec2022_F05_D10/TFO-static/static/0,zonal_centre_back,19321
main/cec2022_F05_D10/TFO-static/static/0,overlapping_wing_back,3445
main/cec2022_F05_D10/TFO-static/static/0,deep_lying_playmaker,2711
main/cec2022_F05_D10/TFO-static/static/0,box_to_box,17111
main/cec2022_F05_D10/TFO-static/static/0,destroyer,8963
main/cec2022_F05_D10/TFO-static/static/0,virtuoso,70743
main/cec2022_F05_D10/TFO-static/static/0,finisher,2224
main/cec2022_F05_D10/TFO-static/static/0,formation,0
main/cec2022_F05_D10/TFO-static/static/0,rotation,0
