schema_version,run_key,experiment,suite,cell_id,function_id,dim,algorithm,variant_id,config_hash,run,seed,budget,evals_used,evals_internal,status,best_f,f_star,error,max_violation,wall_time_s,objective_time_s,n_iterations,n_state_transitions,occ_build_up,occ_control,occ_high_press,occ_chasing,n_counter_attacks,n_substitutions,n_var_rollbacks,n_set_pieces,final_possession_rate
1,main/cec2017_F01_D30/PSO/default/2,main,cec2017,cec2017_F01_D30,F01,30,PSO,default,,2,1516071871,300000,300000,,ok,10267975656.45165,100.0,10267975556.45165,,0.8675222180000901,0.369606316,,,,,,,,,,,
1,main/cec2017_F01_D30/GWO/default/2,main,cec2017,cec2017_F01_D30,F01,30,GWO,default,,2,1516071871,300000,300000,,ok,117697881.53775305,100.0,117697781.53775305,,1.115986727999939,0.366802516,,,,,,,,,,,
1,main/cec2017_F01_D30/CA/default/2,main,cec2017,cec2017_F01_D30,F01,30,CA,default,,2,1516071871,300000,300000,,ok,4104.4959968495705,100.0,4004.4959968495705,,6.649219822999953,0.935662894,,,,,,,,,,,
1,main/cec2017_F01_D30/TFO-static/static/2,main,cec2017,cec2017_F01_D30,F01,30,TFO-static,static,,2,1516071871,300000,300000,300000,ok,1715207.3063383638,100.0,1715107.3063383638,,38.429517770000075,9.546957874,,,,,,,,,,,
1,main/cec2017_F01_D30/L-SHADE/default/1,main,cec2017,cec2017_F01_D30,F01,30,L-SHADE,default,,1,1118882044,300000,300000,,ok,100.0,100.0,0.0,,114.11683469299999,9.409312805,,,,,,,,,,,
1,main/cec2017_F01_D30/WOA/default/2,main,cec2017,cec2017_F01_D30,F01,30,WOA,default,,2,1516071871,300000,300000,,ok,147.38398377305674,100.0,47.38398377305674,,73.45796071000007,11.812093542,,,,,,,,,,,
1,main/cec2017_F01_D30/TFO/full/3,main,cec2017,cec2017_F01_D30,F01,30,TFO,full,,3,1678305394,300000,300000,300000,ok,858739.963031722,100.0,858639.963031722,,59.981049077999955,14.632601603,,,,,,,,,,,
1,main/cec2017_F01_D30/CA/default/3,main,cec2017,cec2017_F01_D30,F01,30,CA,default,,3,1678305394,300000,300000,,ok,183.33648109533468,100.0,83.33648109533468,,9.391408884000043,1.272180467,,,,,,,,,,,
1,main/cec2017_F01_D30/GA/default/3,main,cec2017,cec2017_F01_D30,F01,30,GA,default,,3,1678305394,300000,300000,,ok,9664.03407269573,100.0,9564.03407269573,,3.6206867429999647,0.614394622,,,,,,,,,,,
1,main/cec2017_F01_D30/PSO/default/3,main,cec2017,cec2017_F01_D30,F01,30,PSO,default,,3,1678305394,300000,300000,,ok,12686396425.194086,100.0,12686396325.194086,,1.7312846170000284,0.707945959,,,,,,,,,,,
